Kecamatan,Tahun,Total_Pra_Sekolah,SD
Cibiru,2022,40,15
Cibiru,2023,51,15
Cibiru,2024,50,15
Cibiru,2025,48,16
Cibiru,2026,49,16
Cicendo,2020,0,27
Cicendo,2021,40,27
Cicendo,2022,33,27
Cicendo,2023,43,27
Cicendo,2024,41,27
Cicendo,2025,41,27
Cicendo,2026,40,27
Cidadap,2020,0,15
Cidadap,2021,28,15
Cidadap,2022,27,14
Cidadap,2023,27,15
Cidadap,2024,26,15
Cidadap,2025,26,15
Cidadap,2026,26,15
Cinambo,2020,0,2
Cinambo,2021,19,2
Cinambo,2022,13,3
Cinambo,2023,19,2
Cinambo,2024,19,2
Cinambo,2025,23,3
Cinambo,2026,23,3
Coblong,2020,0,22
Coblong,2021,58,22
Coblong,2022,53,22
Coblong,2023,58,22
Coblong,2024,59,22
Coblong,2025,59,22
Coblong,2026,60,22
Gedebage,2020,0,7
Gedebage,2021,31,7
Gedebage,2022,24,7
Gedebage,2023,31,8
Gedebage,2024,31,8
Gedebage,2025,31,8
Gedebage,2026,33,9
Kiaracondong,2020,0,17
Kiaracondong,2021,54,17
Kiaracondong,2022,38,17
Kiaracondong,2023,54,17
Kiaracondong,2024,53,18
Kiaracondong,2025,49,18
Kiaracondong,2026,43,18
Lengkong,2020,0,23
Lengkong,2021,39,22
Lengkong,2022,30,22
Lengkong,2023,40,22
Lengkong,2024,39,23
Lengkong,2025,39,23
Lengkong,2026,38,23
Mandalajati,2020,0,14
Mandalajati,2021,38,14
Mandalajati,2022,31,14
Mandalajati,2023,39,14
Mandalajati,2024,38,14
Mandalajati,2025,39,14
Mandalajati,2026,41,14
Panyileukan,2020,0,8
Panyileukan,2021,28,9
Panyileukan,2022,23,9
Panyileukan,2023,28,9
Panyileukan,2024,28,9
Panyileukan,2025,28,9
Panyileukan,2026,28,9
Rancasari,2020,0,8
Rancasari,2021,41,9
Rancasari,2022,37,9
Rancasari,2023,43,9
Rancasari,2024,40,10
Rancasari,2025,44,10
Rancasari,2026,46,11
Regol,2020,0,22
Regol,2021,44,22
Regol,2022,31,22
Regol,2023,45,22
Regol,2024,44,22
Regol,2025,45,22
Regol,2026,45,22
Sukajadi,2020,0,23
Sukajadi,2021,32,22
Sukajadi,2022,25,22
Sukajadi,2023,33,22
Sukajadi,2024,33,21
Sukajadi,2025,37,21
Sukajadi,2026,37,21
Sukasari,2020,0,22
Sukasari,2021,42,22
Sukasari,2022,35,22
Sukasari,2023,43,22
Sukasari,2024,44,22
Sukasari,2025,44,22
Sukasari,2026,44,22
Sumur Bandung,2020,0,14
Sumur Bandung,2021,18,14
Sumur Bandung,2022,13,14
Sumur Bandung,2023,19,14
Sumur Bandung,2024,19,14
Sumur Bandung,2025,19,14
Sumur Bandung,2026,18,14
Ujung Berung,2020,0,8
Ujung Berung,2021,56,8
Ujung Berung,2022,48,8
Ujung Berung,2023,59,10
Ujung Berung,2024,61,10
Ujung Berung,2025,58,10
Ujung Berung,2026,61,10
