id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,kategori_siswa,jumlah_siswa,satuan,tahun
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 071 SUKAGALIH KOTA BANDUNG,20245267,SK SISWA,299,ORANG,2018
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 072 SUKASARI KOTA BANDUNG,20245276,SK SISWA,23,ORANG,2018
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 073 PAJAGALAN KOTA BANDUNG,20247280,SK SISWA,109,ORANG,2018
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 074 AYUDIA KOTA BANDUNG,20245449,SK SISWA,161,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 075 JATAYU KOTA BANDUNG,20245591,SK SISWA,216,ORANG,2018
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 076 SUKAJADI KOTA BANDUNG,20244925,SK SISWA,82,ORANG,2018
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 077 SEJAHTERA KOTA BANDUNG,20245980,SK SISWA,157,ORANG,2018
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SDN 078 SINDANGSARI ANTAPANI KOTA BANDUNG,20245441,SK SISWA,291,ORANG,2018
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 079 KOPO PAJAGALAN KOTA BANDUNG,20245039,SK SISWA,356,ORANG,2018
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 080 BOJONG INDAH CIBUNTU KOTA BANDUNG,20244740,SK SISWA,145,ORANG,2018
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 081 KEBON GEDANG KRIDAWINAYA KOTA BANDUNG,20245956,SK SISWA,153,ORANG,2018
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,SDN 082 MUARARAJEUN KOTA BANDUNG,20245242,SK SISWA,142,ORANG,2018
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,SDN 083 BABAKAN SURABAYA KOTA BANDUNG,20245470,SK SISWA,117,ORANG,2018
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,SDN 084 CIKADUT KOTA BANDUNG,20245521,SK SISWA,219,ORANG,2018
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SDN 085 CIUMBULEUIT KOTA BANDUNG,20245142,SK SISWA,68,ORANG,2018
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,SDN 086 CIMINCRANG KOTA BANDUNG,20245497,SK SISWA,131,ORANG,2018
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,SDN 087 RANCABOLANG KOTA BANDUNG,20246414,SK SISWA,358,ORANG,2018
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 088 EMBONG KOTA BANDUNG,20245568,SK SISWA,151,ORANG,2018
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 089 BABAKAN CIPARAY KOTA BANDUNG,20244998,SK SISWA,257,ORANG,2018
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 090 CIBIRU KOTA BANDUNG,20245487,SK SISWA,172,ORANG,2018
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SDN 091 CIBEUREUM KOTA BANDUNG,20245129,SK SISWA,727,ORANG,2018
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 092 CIBADAK ANDIR KOTA BANDUNG,20244961,SK SISWA,123,ORANG,2018
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 093 TUNAS HARAPAN CIJERAH KOTA BANDUNG,20244933,SK SISWA,120,ORANG,2018
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,SDN 094 PARAKANWAAS KOTA BANDUNG,20245072,SK SISWA,57,ORANG,2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,SDN 095 BABAKANJATI KOTA BANDUNG,20246455,SK SISWA,521,ORANG,2018
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 096 SARIJADI SELATAN KOTA BANDUNG,20245260,SK SISWA,64,ORANG,2018
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,SDN 097 CIRATEUN KULON KOTA BANDUNG,20244855,SK SISWA,65,ORANG,2018
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SDN 098 CIROYOM KOTA BANDUNG,20245141,SK SISWA,131,ORANG,2018
